district,ward,village,latitude,langitude,year,hh_served,functional_stat,pump_type,outlet,soak_away_pit,protecte,date_of_last_visit,vpm_visits_yearly,bh_committe,seasonality,aquifer_yield,bh_depth,palatabilit,total_dissolved_solids
Mutare,36,Nyamana,-19.3043401,32.5351219,2014,35,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-12,3,Functional,Perennial,41.0,97,True,126
Mutare,36,Nyamukondiwa,-19.21366,32.5291777,1992,12,Fully Functional,Bush Pump Type B,1,False,Yes,2022-07-02,2,Functional,Perennial,0.471760241,100,False,646
Chipinge,18,Tineengana,-20.4653489,32.5286408,1992,57,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-23,5,Functional,Perennial,0.879056191,66,False,941
Chipinge,18,Sita,-20.4455137,32.532441,1986,32,Fully Functional,Bush Pump Type B,1,True,Yes,2023-04-23,3,Functional,Perennial,0.840740773,108,True,436
Chipinge,12,Holland Committe Of 7,-20.315143,32.551535,1986,19,Fully Functional,Submersible Pump,7,False,Yes,2023-05-08,6,Functional,Seasonal,39.0,100,True,388
Chipinge,12,Holland Committe Of 7,-20.3366863,32.5603345,1990,15,Fully Functional,Submersible Pump,7,False,Yes,2023-05-15,3,Functional,Perennial,40.0,103,True,481
Nyanga,30,Sabhuku Chiringa Village 2,-17.9153595,32.6887021,2001,34,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-01,4,Functional,Perennial,24.0,43,True,527
Chimanimani,20,Dzitiro,-19.9121,32.460016,2013,9,Fully Functional,Bush Pump Type B,1,True,No,2022-08-14,2,Functional,Perennial,0.88831966,86,True,49
Nyanga,14,Masangwi,-17.9923776,32.8951907,1972,56,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-05,5,Functional,Perennial,2.0,97,True,269
Chimanimani,20,Chandimara,-19.9137279,32.4869392,1992,52,Fully Functional,Bush Pump Type B,2,False,Yes,2023-05-08,3,Functional,Perennial,0.140301262,60,True,530
Chimanimani,4,Mukotsori,-19.5598563,32.6904583,2015,41,Fully Functional,Bush Pump Type B,1,True,Yes,2022-04-11,2,Non-existent,Seasonal,14.0,21,True,296
Nyanga,18,Kutombo,-18.0157774,32.5873692,1953,51,Partially Functional,Bush Pump Type B,1,True,Yes,2022-11-27,2,Functional,Perennial,0.647670583,73,True,275
Buhera,27,Dzaramba,-19.7012883,31.9683376,2020,10,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-22,4,Functional,Perennial,12.0,100,True,364
Chimanimani,5,Nemaramba,-19.6980648,32.4723353,1970,10,Fully Functional,Bush Pump Type B,2,False,Yes,2023-03-29,6,Functional,Perennial,23.0,73,True,64
Chimanimani,5,Nemaramba,-19.7279039,32.4750232,1990,40,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-28,5,Functional,Perennial,17.0,78,True,478
Chimanimani,5,Nemaramba,-19.7117302,32.4741011,2015,22,Partially Functional,Bush Pump Type B,1,False,Yes,2023-04-12,5,Functional,Perennial,34.0,107,True,139
Chimanimani,5,Nemaramba,-19.6896329,32.4702404,2005,14,Partially Functional,Bush Pump Type A,1,True,Yes,2023-04-08,4,Functional,Seasonal,0.449227474,57,True,219
Chimanimani,1,Nyamashanga,-19.4765193,32.6814346,1990,15,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-24,4,Functional,Perennial,24.0,25,True,410
Mutare,5,Gopito,-19.0323719,32.411208,2016,16,Fully Functional,Bush Pump Type B,1,False,No,2022-04-14,1,Functional,Perennial,1.0,109,True,142
Chimanimani,2,chigwidiri,-19.5323479,32.5226146,2005,40,Fully Functional,Bush Pump Type B,1,False,Yes,2022-11-17,1,Non-Functional,Perennial,36.0,26,True,444
Chimanimani,2,chieza village,-19.5016559,32.578278,1982,11,Fully Functional,Bush Pump Type B,1,True,Yes,2023-03-30,6,Functional,Perennial,2.0,58,True,541
Chimanimani,7,Village    4   ( Mandima  ),-19.6516185,32.6588076,1993,30,Fully Functional,Bush Pump Type B,1,False,Yes,2022-09-21,2,Functional,Seasonal,0.669524685,20,True,133
Chimanimani,20,Dzitiro,-19.9309567,32.432155,1986,20,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-14,5,Functional,Perennial,41.0,61,True,544
Chimanimani,2,mukono village,-19.5058452,32.5330313,2015,10,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-03,5,Functional,Perennial,2.0,45,True,239
Chimanimani,7,13  (NEZANDOYI),-19.1121428,32.140653,2000,20,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-21,4,Functional,Perennial,28.0,23,True,488
Mutare,5,Madzime,-19.046721,32.4991196,2015,20,Fully Functional,Bush Pump Type B,1,True,Yes,2023-01-09,3,Functional,Perennial,22.0,24,True,549
Chimanimani,2,chigwidiri,-19.5314724,32.5321521,2014,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-19,6,Functional,Perennial,0.366800537,38,True,299
Chimanimani,20,Mumera,-19.8762854,32.4033577,2015,50,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-18,5,Functional,Perennial,17.0,74,True,518
Chimanimani,2,mukono,-19.516533,32.52915,2010,9,Fully Functional,Submersible Pump,7,False,Yes,2022-06-09,2,Functional,Perennial,1.0,74,True,486
Chimanimani,5,Chibuwe B,-19.6894956,32.4378985,1999,10,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-25,4,Functional,Perennial,5.0,56,True,399
Chimanimani,5,Nemaramba,-19.7149663,32.4647763,2006,35,Fully Functional,Bush Pump Type B,1,True,Yes,2023-03-27,4,Functional,Perennial,29.0,84,True,510
Chimanimani,5,Nemaramba,-19.7031741,32.4532951,1994,30,Fully Functional,Bush Pump Type B,1,True,Yes,2023-03-16,3,Functional,Perennial,10.0,55,True,240
Chimanimani,5,Nemutenzi,-19.6347698,32.4808152,2015,30,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-29,5,Functional,Perennial,26.0,30,True,345
Mutare,21,Mambwere,-19.2353129,32.6243236,1988,15,Fully Functional,Mono Pump,1,True,Yes,2023-05-06,6,Functional,Perennial,5.0,104,True,555
Chimanimani,5,Chibuwe,-19.678907,32.4638902,1988,30,Fully Functional,Bush Pump Type B,1,True,Yes,2022-04-13,2,Functional,Perennial,47.0,114,True,231
Chimanimani,5,Chibuwe,-19.6797788,32.4683754,1988,58,Partially Functional,Bush Pump Type B,1,True,Yes,2023-05-15,6,Functional,Perennial,22.0,93,True,541
Chimanimani,5,Chibuwe,-19.1131311,32.4240029,1997,20,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-26,6,Functional,Perennial,48.0,106,True,238
Chimanimani,5,Chibuwe,-19.681829,32.4770774,1982,10,Partially Functional,Bush Pump Type B,1,False,Yes,2023-05-04,3,Functional,Seasonal,0.933784383,68,True,588
Chimanimani,5,Chibuwe,-19.6599346,32.4662979,1983,60,Fully Functional,Bush Pump Type B,1,True,No,2023-04-25,6,Functional,Perennial,30.0,53,True,120
Chimanimani,4,Muchakagara B,-19.5657273,32.672352,2001,45,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-01,3,Functional,Perennial,14.0,20,True,151
Chipinge,4,Marwendo,-20.15033,32.4507762,1990,12,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-23,4,Functional,Perennial,45.0,99,True,548
Chipinge,4,Marwendo,-20.544139,32.4424052,2014,23,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-07,3,Non-existent,Perennial,27.0,31,True,232
Chipinge,6,Buffledrift,-20.157221,32.516846,1992,20,Fully Functional,Bush Pump Type B,1,False,Yes,2022-11-03,2,Functional,Perennial,0.64741441,98,True,96
Chipinge,22,Chisurudza,-20.6855711,32.3530537,1992,58,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-02,4,Functional,Perennial,18.0,113,True,10
Mutare,2,26,-19.1824144,32.1193675,1986,39,Non-Functional,Bush Pump Type A,1,True,Yes,2022-10-26,2,Functional,Perennial,0.916087417,104,False,751
Mutare,19,GAREPI,-19.2989744,32.3395099,1986,30,Non-Functional,Rope and Bucket,1,False,Yes,2022-08-05,1,Non-functional,Perennial,39.0,85,True,476
Chipinge,23,Mhlanga,-20.6482518,32.4158928,1990,45,Non-Functional,Bush Pump Type B,1,False,Yes,2023-02-01,3,Functional,Perennial,32.0,112,True,115
Chipinge,22,Mukuyu B,-20.6722249,32.33121,2001,25,Fully Functional,Submersible Pump,8,False,Yes,2023-05-17,4,Functional,Perennial,9.0,73,True,82
Mutare,19,NDIKUDZE,-19.3379111,32.4449392,2013,50,Fully Functional,Bush Pump Type B,1,True,Yes,2023-04-14,4,Functional,Perennial,27.0,46,True,538
Chimanimani,2,murahwa villge,-19.5030208,32.5625116,1972,35,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-27,3,Functional,Perennial,0.332789399,107,True,350
Chimanimani,2,murahwa,-19.5086333,32.5563236,1992,18,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-22,5,Functional,Perennial,4.0,38,True,122
Chipinge,23,Nyadzonya,-20.7263312,32.4288598,2015,50,Non-Functional,Bush Pump Type B,1,False,No,2023-04-03,3,Non-existent,Perennial,16.0,75,True,403
Chipinge,23,Nyadzonya,-20.7458478,32.4332816,1953,15,Non-Functional,Bush Pump Type B,1,False,Yes,2023-01-02,3,Functional,Perennial,17.0,41,True,226
Chimanimani,6,Doriyo,-19.7315703,32.5576927,2020,16,Fully Functional,Bush Pump Type A,1,False,Yes,2022-03-01,2,Non-existent,Perennial,41.0,111,True,432
Chimanimani,6,Chizemo,-19.7276007,32.6094086,1970,20,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-02,4,Functional,Perennial,10.0,26,True,481
Chimanimani,6,Chizemo,-19.7361896,32.5985207,1990,16,Partially Functional,Bush Pump Type B,1,True,Yes,2023-01-03,5,Functional,Perennial,41.0,107,True,244
Chimanimani,6,Doriyo,-19.7173555,32.574978,2015,19,Fully Functional,Bush Pump Type B,1,True,Yes,2023-04-23,5,Functional,Seasonal,32.0,64,True,530
Chimanimani,6,Chizemo,-19.7330831,32.6059566,2005,26,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-13,5,Functional,Perennial,31.0,47,True,203
Chimanimani,6,Chizemo,-19.7450131,32.587233,1990,37,Partially Functional,Bush Pump Type B,1,True,Yes,2023-05-26,4,Functional,Perennial,0.052645938,75,True,386
Chimanimani,6,Chizemo,-19.7446461,32.5979249,2016,11,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-15,4,Functional,Perennial,0.689441123,108,True,336
Chimanimani,21,Mukondomi,-20.0490309,32.8678289,2005,13,Non-Functional,Bush Pump Type B,1,False,No,2022-07-16,2,Non-functional,Seasonal,0.465446858,56,False,987
Chimanimani,21,Jiri,-20.0475348,32.8924134,1982,7,Non-Functional,Bush Pump Type B,3,False,Yes,2023-01-30,3,Non-existent,Seasonal,0.031605452,60,False,762
Chimanimani,21,Gadzingo,-20.0467168,32.8989715,1996,15,Fully Functional,Bush Pump Type B,1,False,Yes,2022-09-04,1,Non-existent,Seasonal,0.263929376,55,False,852
Chimanimani,21,Vheremu,-20.0542041,32.8548203,1986,22,Fully Functional,Bush Pump Type B,1,False,No,2023-05-05,3,Functional,Perennial,34.0,40,True,171
Chimanimani,21,Gadzingo,-20.0490325,32.8892139,1993,5,Non-Functional,Bush Pump Type B,1,False,Yes,2023-05-31,3,Non-existent,Seasonal,0.845252413,92,True,211
Chipinge,18,Bonyongwe,-20.4444232,32.6055308,1988,14,Fully Functional,Bush Pump Type B,1,False,Yes,2022-01-18,2,Functional,Perennial,37.0,92,True,81
Mutare,34,Village Q,-19.0888801,32.39989776,1988,8,Fully Functional,Rope and Bucket,1,False,No,2023-05-21,3,Non-existent,Perennial,0.296650404,47,False,952
Nyanga,18,Gambe,-17.9867678,32.6009687,1988,63,Partially Functional,Bush Pump Type B,1,True,No,2022-06-14,2,Non-Functional,Perennial,0.071156452,34,True,433
Mutare,34,B1,-19.1151478,32.36650913,1997,60,Fully Functional,Bush Pump Type B,1,False,No,2023-02-07,4,Functional,Perennial,23.0,107,True,595
Mutare,34,Village O,-19.0738616,32.28792165,1982,6,Fully Functional,Bush Pump Type B,1,True,No,2022-01-11,2,Functional,Perennial,16.0,20,True,70
Mutare,34,Village Q,-19.0864932,32.39394731,1983,15,Partially Functional,Bush Pump Type B,1,True,No,2023-02-05,3,Non-Functional,Perennial,20.0,84,False,749
Mutare,34,Nyagundi,-19.1228572,32.40154686,2001,20,Non-Functional,Bush Pump Type B,1,True,Yes,2022-07-11,1,Non-functional,Perennial,33.0,71,False,840
Mutare,34,Village B,-19.1155268,32.36768819,1990,0,Non-Functional,Bush Pump Type B,1,False,No,2022-04-30,2,Functional,Perennial,33.0,97,False,834
Mutare,5,Madzime,-19.0522082,32.4890454,2014,50,Non-Functional,Bush Pump Type B,1,True,Yes,2022-05-08,1,Functional,Seasonal,48.0,57,False,676
Mutare,34,Village A2,-19.1089988,32.41359791,1992,25,Non-Functional,Bush Pump Type B,1,False,Yes,2022-05-21,1,Functional,Perennial,36.0,23,False,911
Mutare,34,Village A7,-19.1072155,32.39819732,1992,20,Partially Functional,Bush Pump Type B,1,False,Yes,2023-05-27,4,Functional,Perennial,0.898769198,101,False,705
Chimanimani,21,Chingwekwe,-20.046167,32.8580121,1986,5,Non-Functional,Bush Pump Type B,1,False,Yes,2022-10-04,1,Non-existent,Seasonal,0.328624337,41,False,756
Chimanimani,21,Mutingwende,-20.0205078,32.8548874,1986,12,Non-Functional,Bush Pump Type B,1,False,Yes,2023-02-13,3,Non-functional,Seasonal,0.162248048,61,False,731
Chimanimani,21,Jiri,-20.0442918,32.8907109,1990,8,Partially Functional,Bush Pump Type B,1,False,Yes,2022-10-29,2,Non-Functional,Seasonal,0.861138634,84,True,293
Chimanimani,21,Mutingwende,-20.0217921,32.8500215,2001,9,Non-Functional,Bush Pump Type B,1,False,Yes,2022-10-29,1,Non-functional,Seasonal,0.00783289,106,False,927
Chimanimani,21,Mutingwende,-20.0213277,32.8556378,2013,9,Non-Functional,Bush Pump Type B,1,False,Yes,2022-01-08,1,Non-functional,Seasonal,0.851514857,51,True,315
Chimanimani,21,Chingwekwe,-20.044016,32.8570711,1972,21,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-23,3,Non-Functional,Seasonal,0.00598212,96,True,482
Chimanimani,21,Jiri,-20.0470744,32.894176,1992,12,Non-Functional,Bush Pump Type B,1,False,Yes,2023-01-23,3,Non-existent,Seasonal,0.518845707,30,False,974
Chimanimani,21,Jiri,-20.0475523,32.8916582,2015,13,Partially Functional,Bush Pump Type B,1,False,Yes,2022-04-15,1,Non-existent,Seasonal,0.341887619,38,False,892
Chimanimani,21,Chingwekwe,-20.0439418,32.8595121,1953,6,Non-Functional,Bush Pump Type B,1,False,Yes,2022-10-05,2,Non-functional,Seasonal,0.354782935,37,False,707
Chimanimani,21,Mutingwende,-20.0220602,32.8513409,2020,19,Fully Functional,Bush Pump Type B,1,False,Yes,2022-01-06,1,Non-Functional,Perennial,0.143669261,75,True,555
Chimanimani,21,Mukondomi,-20.0489529,32.867998,1970,4,Partially Functional,Bush Pump Type B,1,False,Yes,2022-04-25,2,Non-Functional,Seasonal,0.028014903,87,False,880
Chimanimani,19,Mutendadzamera,-19.9038179,32.5331326,1990,57,Fully Functional,Bush Pump Type B,1,True,Yes,2022-03-18,2,Functional,Perennial,39.0,72,True,401
Chimanimani,4,Maguta,-19.5583647,32.63619,2015,30,Fully Functional,Submersible Pump,7,False,No,2022-07-31,2,Non-existent,Seasonal,0.187978682,96,True,196
Chimanimani,20,Dzitiro,-19.9503516,32.3846647,2005,56,Fully Functional,Submersible Pump,1,False,Yes,2023-01-28,6,Functional,Perennial,42.0,44,True,73
Chimanimani,20,Chandimara,-19.8986001,32.4429911,1990,39,Fully Functional,Mono Pump,1,True,Yes,2023-01-07,3,Functional,Perennial,46.0,51,True,325
Mutare,20,Pararai,-19.2720289,32.526999,2016,29,Partially Functional,Bush Pump Type B,1,True,Yes,2023-02-13,3,Functional,Perennial,0.438411707,81,True,309
Nyanga,17,Nyabeze,-17.964595,32.6642759,2005,14,Non-Functional,Bush Pump Type B,1,True,Yes,2022-03-22,1,Non-existent,Perennial,25.0,69,True,433
Mutare,26,Garai,-19.3481141,32.4799759,1982,41,Partially Functional,Bush Pump Type B,1,False,Yes,2022-03-25,2,Functional,Perennial,26.0,99,True,134
Chipinge,15,Munamba,-20.5350221,32.16224331,1945,20,Fully Functional,Submersible Pump,1,False,Yes,2022-04-22,2,Non-Functional,Perennial,28.0,42,True,113
Chipinge,15,Munamba,-20.5308498,32.66139791,2020,60,Partially Functional,Bush Pump Type B,1,False,Yes,2022-02-10,2,Non-Functional,Perennial,0.07249276,57,True,407
Buhera,27,Muzerengwa,-19.7806386,32.1368935,1998,50,Non-Functional,Bush Pump Type B,1,False,Yes,2022-06-13,1,Non-existent,Perennial,41.0,86,False,903
Buhera,27,Mureriwa,-19.6755171,32.0631004,1964,12,Non-Functional,Bush Pump Type B,1,False,Yes,2022-09-21,1,Non-existent,Perennial,7.0,38,True,321
Nyanga,6,Nyagato,-17.6684715,32.8508939,1996,49,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-08,4,Functional,Seasonal,0.045829257,67,False,624
Nyanga,6,Nyagato,-17.6777517,32.8502403,2019,50,Fully Functional,Bush Pump Type A,1,True,Yes,2023-02-24,6,Functional,Perennial,5.0,114,True,408
Mutare,26,Garai,-19.3350626,32.5001899,1992,45,Partially Functional,Bush Pump Type B,1,False,Yes,2022-11-22,1,Functional,Perennial,32.0,97,True,162
Chipinge,18,Murenje,-20.5032428,32.5134021,2014,38,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-03,6,Functional,Perennial,14.0,96,True,494
Chipinge,12,Streppie,-20.1404212,32.6145622,2015,30,Fully Functional,Bush Pump Type B,1,True,No,2023-01-29,6,Functional,Perennial,14.0,114,False,875
Chipinge,12,Deelforntein Committe Of 7,-20.2781006,32.6457211,2012,26,Non-Functional,Mono Pump,1,False,Yes,2022-01-23,1,Non-existent,Perennial,21.0,47,True,158
Chipinge,12,Glengary Committe Of 7,-20.2646403,32.5662938,1978,0,Non-Functional,Mono Pump,1,False,No,2022-06-29,1,Non-existent,Perennial,10.0,114,False,942
Buhera,27,Muzerengwa,-19.776616,32.1339887,1998,25,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-12,6,Functional,Perennial,19.0,32,True,196
Chipinge,18,Masocha,-20.4900682,32.5580669,1994,23,Non-Functional,National Pump,1,False,No,2023-04-04,3,Functional,Perennial,4.0,22,True,41
Buhera,3,Chibaya,-19.2156877,31.3567698,1990,25,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-23,3,Functional,Perennial,15.0,102,True,491
Nyanga,7,Kadyamukonde,-17.6753763,32.6603499,1994,26,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-19,5,Functional,Seasonal,0.271594984,86,True,21
Buhera,21,Basira,-19.5925345,31.8427243,1977,26,Non-Functional,Bush Pump Type B,1,False,Yes,2023-03-30,3,Non-functional,Seasonal,0.865334267,53,True,25
Chipinge,18,Chidhakwa,-20.3121,32.653147,1988,15,Fully Functional,Bush Pump Type B,1,True,Yes,2022-02-04,1,Non-existent,Perennial,0.330709771,33,True,584
Nyanga,9,Dzimano,-17.7624214,32.8694088,1988,40,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-25,5,Functional,Seasonal,15.0,81,True,191
Mutare,6,Museta,-19.1015857,32.6586786,1988,60,Fully Functional,Bush Pump Type B,1,False,Yes,2022-05-12,2,Functional,Perennial,12.0,56,False,639
Buhera,5,Sojini,-19.2119578,31.4966257,1997,0,Non-Functional,Bush Pump Type B,1,False,Yes,2022-05-16,2,Non-existent,Perennial,0.543342453,86,False,891
Mutare,6,Chidziya,-19.1064092,32.6609552,1982,13,Fully Functional,Mono Pump,1,False,Yes,2022-10-18,2,Functional,Perennial,6.0,70,True,118
Buhera,3,Chatindo,-19.2214567,31.444028,1983,14,Fully Functional,Bush Pump Type B,1,False,Yes,2022-02-06,2,Non-existent,Perennial,0.19047197,112,True,332
Buhera,22,Mafuruse,-19.5356374,31.952842,2001,40,Partially Functional,Bush Pump Type B,1,False,Yes,2022-04-05,2,Functional,Perennial,21.0,83,True,282
Mutare,28,Mafurere,-19.4826884,32.3308736,1990,60,Fully Functional,Bush Pump Type B,1,True,Yes,2023-04-10,5,Functional,Perennial,32.0,44,True,26
Chipinge,1,Ngaoni,-19.9889321,32.4109878,2014,52,Fully Functional,Bush Pump Type B,1,True,Yes,2023-03-08,6,Functional,Perennial,35.0,67,True,386
Chipinge,4,Mushakavanhu,-20.0636135,32.4156695,1992,30,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-05,3,Functional,Perennial,18.0,39,True,234
Mutasa,15,Kurewa,-18.6333141,32.5368813,1992,24,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-28,6,Functional,Perennial,16.0,23,True,525
Chipinge,18,Chidhakwa,-20.316017,32.6417227,1986,15,Fully Functional,National Pump,1,False,No,2022-12-22,1,Non-Functional,Seasonal,0.831087678,58,True,30
Chipinge,18,Tauzeni,-20.5048717,32.5448592,1986,33,Non-Functional,Bush Pump Type B,1,False,No,2023-05-03,3,Functional,Seasonal,0.341921259,67,False,795
Chipinge,18,Chimene,-20.4439729,32.5818939,1990,40,Non-Functional,Bush Pump Type A,1,False,No,2022-12-01,2,Non-functional,Perennial,44.0,34,True,299
Chipinge,18,Murenje,-20.5087136,32.5138633,2001,63,Non-Functional,Bush Pump Type B,1,False,Yes,2023-01-17,3,Non-existent,Seasonal,0.388478477,59,True,402
Chipinge,18,Siyapeya,-20.4622551,32.5855167,2013,45,Non-Functional,Bush Pump Type B,1,False,No,2022-05-18,2,Functional,Perennial,50.0,27,True,273
Chipinge,18,Muneirirwa,-20.3434318,32.5442002,1972,37,Fully Functional,Bush Pump Type B,1,False,Yes,2022-03-10,2,Functional,Perennial,13.0,22,True,259
Chipinge,18,Chidhakwa,-20.3165,32.64218,1992,13,Fully Functional,Bush Pump Type B,1,True,Yes,2022-07-05,1,Non-Functional,Perennial,0.134652878,59,False,895
Chipinge,18,Bonyongwe,-20.4342118,32.6043323,2015,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-16,3,Non-existent,Perennial,0.387427696,104,True,55
Chipinge,18,Muneirirwa,-20.3802516,32.6005174,1953,12,Partially Functional,Bush Pump Type B,1,False,Yes,2023-01-04,3,Non-Functional,Perennial,0.252846584,48,False,768
Chipinge,4,Matandana Village,-20.0688193,32.4525277,2020,0,Non-Functional,National Pump,1,False,No,2022-06-16,1,Non-existent,Seasonal,0.98889409,34,False,651
Mutasa,19,Chidzinzwa,-18.6501495,32.6888613,1970,48,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-10,6,Functional,Perennial,0.45886619,96,False,956
Chipinge,1,Maunganidze,-19.9662001,32.3512821,1990,44,Non-Functional,Bush Pump Type B,1,True,Yes,2022-09-04,1,Functional,Seasonal,45.0,92,True,232
Nyanga,10,Sagwidza,-17.7785514,32.9053588,2015,10,Fully Functional,Bush Pump Type B,1,True,Yes,2023-04-10,3,Non-Functional,Perennial,35.0,78,False,801
Chipinge,4,Marwendo,-20.1150976,32.4507141,2005,20,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-31,5,Functional,Seasonal,0.570302577,104,True,99
Makoni,39,Jeti,-18.5500583,31.8643757,1990,20,Fully Functional,Windlass and Bucket,1,False,No,2022-04-18,1,Non-existent,Seasonal,0.290006396,101,False,607
Buhera,30,Chamunorwa,-19.777434,32.2732793,2016,56,Non-Functional,Bush Pump Type A,1,True,Yes,2022-11-21,2,Non-existent,Seasonal,20.0,105,False,821
Chipinge,16,Chinyamusindo,-20.4656432,32.336047,2005,26,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-30,3,Functional,Perennial,28.0,86,False,906
Chipinge,1,Ngaoni,-19.9747985,32.3940133,1982,30,Non-Functional,Bush Pump Type B,1,True,Yes,2022-08-01,1,Functional,Perennial,0.59233809,74,True,585
Makoni,23,Nhiwatiwa,-18.6643312,32.4376169,1999,25,Non-Functional,National Pump,1,False,Yes,2023-04-26,3,Non-existent,Perennial,15.0,90,True,195
Makoni,8,Village 21A,-18.2259697,32.1662619,2006,33,Fully Functional,Bush Pump Type B,1,True,Yes,2022-10-03,2,Functional,Perennial,43.0,110,True,337
Makoni,7,27,-18.1268895,32.2210875,1994,0,Non-Functional,Bush Pump Type A,1,False,No,2022-11-30,1,Non-functional,Perennial,18.0,81,True,294
Makoni,7,4,-18.0979458,32.1682775,2015,0,Non-Functional,Bush Pump Type A,1,False,Yes,2022-11-20,2,Non-existent,Perennial,20.0,31,False,889
Nyanga,10,Nyamakupe,-17.7508864,32.9192047,1990,18,Partially Functional,Bush Pump Type B,1,False,Yes,2022-03-31,1,Functional,Perennial,12.0,35,True,356
Mutasa,17,Vumbunu,-18.7259674,32.5702157,2014,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-05,3,Functional,Perennial,46.0,115,True,568
Makoni,5,Chigudu,-18.072947,32.1881597,1971,15,Fully Functional,Bush Pump Type B,1,False,Yes,2022-12-12,1,Non-Functional,Perennial,31.0,84,True,147
Mutare,29,Fungirayi,-19.5529213,32.4475623,1986,62,Non-Functional,Bush Pump Type B,1,True,Yes,2023-02-24,3,Functional,Perennial,15.0,88,True,256
Buhera,22,Nhema,-19.5716674,31.8669139,1993,50,Non-Functional,Bush Pump Type B,1,False,Yes,2022-09-06,1,Non-existent,Perennial,0.131113487,89,False,982
Mutare,10,Gandira,-19.2499876,32.2413955,1986,30,Fully Functional,Bush Pump Type B,1,True,Yes,2022-09-08,2,Functional,Seasonal,31.0,31,True,371
Mutasa,8,Nhurike,-18.5953142,32.8056491,2015,40,Fully Functional,Bush Pump Type B,1,False,Yes,2022-06-28,2,Non-Functional,Perennial,22.0,24,False,780
Makoni,22,Chimbadzwa,-18.5776156,32.3671267,2000,22,Fully Functional,Bush Pump Type B,1,False,Yes,2022-03-02,2,Functional,Perennial,0.103217823,33,True,144
Mutasa,24,Kudiwa,-18.8064415,32.52279,2015,11,Partially Functional,Bush Pump Type B,1,False,Yes,2022-01-12,1,Non-Functional,Perennial,24.0,52,True,135
Chipinge,23,Chimoio,-20.7121351,32.4080135,2014,48,Partially Functional,Bush Pump Type B,1,False,Yes,2023-05-14,3,Functional,Perennial,37.0,86,True,344
Makoni,10,51A,-18.2612445,32.3426749,2015,0,Non-Functional,Bush Pump Type A,1,False,Yes,2022-05-20,1,Non-existent,Perennial,15.0,21,True,327
Makoni,31,2A,-19.0333237,32.0081,2010,50,Partially Functional,Bush Pump Type A,1,True,Yes,2022-03-18,1,Functional,Perennial,16.0,37,True,505
Makoni,9,Village 9,-18.0316331,32.4404243,1986,22,Fully Functional,Bush Pump Type A,1,False,Yes,2022-02-22,1,Non-Functional,Perennial,28.0,44,True,329
Makoni,23,Gandanzara,-18.6685398,32.4359429,1993,15,Fully Functional,Bush Pump Type A,1,False,Yes,2022-07-11,1,Non-Functional,Perennial,35.0,91,True,201
Mutare,22,Matsika!  Mutsiyabako,-19.4309539,32.6952286,1986,15,Fully Functional,Bush Pump Type A,1,False,Yes,2022-08-12,2,Functional,Perennial,0.062129564,48,True,409
Mutasa,19,Dombo Village 5,-18.6692471,32.7078162,2015,46,Fully Functional,Bush Pump Type B,1,True,Yes,2022-07-03,1,Non-Functional,Perennial,7.0,33,False,698
Mutasa,20,Chimuriwo,-18.7137329,32.6340825,2000,17,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-01,3,Functional,Perennial,41.0,108,False,983
